Fighter,Result,Opponent,Event,Date,Method,Rounds,Time
Yaroslav Amosov,win,Mark Lemminger,Bellator 244 - Bader vs. Nemkov,Aug / 21 / 2020,TKO (Doctor Stoppage),1,5:00
Yaroslav Amosov,win,David Rickels,Bellator 225 - Mitrione vs. Kharitonov 2,Aug / 24 / 2019,Submission (Brabo Choke),2,4:05
Yaroslav Amosov,win,Gerald Harris,Bellator 202 - Budd vs. Nogueira,Jul / 13 / 2018,Decision (Unanimous),3,5:00
Yaroslav Amosov,win,Diogo Cavalcanti,Tech-Krep FC - Prime Selection 12,Mar / 18 / 2017,Submission (North-South Choke),1,4:48
Yaroslav Amosov,win,Khasanbek Abdulaev,Tech-Krep FC - Southern Front 3,Mar / 03 / 2016,TKO (Punches),2,2:47
Yaroslav Amosov,win,Islam Berzegov,Tech-Krep FC - Prime Selection 7,Oct / 09 / 2015,Submission (Rear-Naked Choke),1,1:27
Yaroslav Amosov,win,Ravil Risaev,Tech-Krep FC - Ermak Prime Challenge,Apr / 03 / 2015,Submission (North-South Choke),1,1:27
Yaroslav Amosov,win,Oleg Olenichev,Tech-Krep FC - Battle of Heroes,Dec / 12 / 2014,Decision (Unanimous),3,5:00
Yaroslav Amosov,win,Aydin Aikhan,ECSF - Ukraine vs. Turkey,Sep / 18 / 2014,TKO (Punches),1,1:40
Yaroslav Amosov,win,Andrei Shalavai,CSFU - Voshod Open Cup,Jul / 26 / 2014,TKO (Punches),1,3:10
Yaroslav Amosov,win,Vadim Sandulskiy,League S-70 - Plotforma 4th,Aug / 17 / 2013,Submission (Rear-Naked Choke),3,3:03
Yaroslav Amosov,win,Artiom Cula,ECSF - Battle of Bessarabia,Mar / 24 / 2013,TKO (Punches),2,1:36
Yaroslav Amosov,win,Ed Ruth,Bellator 239 - Ruth vs. Amosov,Feb / 21 / 2020,Decision (Unanimous),3,5:00
Yaroslav Amosov,win,Erick Silva,Bellator 216 - MVP vs. Daley,Feb / 16 / 2019,Decision (Unanimous),3,5:00
Yaroslav Amosov,win,Nathan Oliveira,Tech-Krep FC - Prime Selection 17,Aug / 18 / 2017,Submission (Anaconda Choke),1,3:20
Yaroslav Amosov,win,Roberto Soldic,Tech-Krep FC - Prime Selection 8,Jun / 18 / 2016,Decision (Split),3,5:00
Yaroslav Amosov,win,Maxim Konovalov,Tech-Krep FC - Battle in Siberia,Feb / 12 / 2016,Submission (Anaconda Choke),1,2:34
Yaroslav Amosov,win,Diego Gonzalez,Tech-Krep FC - Prime Selection 4: Grandmasters,Jul / 24 / 2015,KO (Punch),2,2:38
Yaroslav Amosov,win,Avtandil Gachechiladze,ECSF - Steel Warriors,Mar / 05 / 2015,Submission (Armbar),2,1:45
Yaroslav Amosov,win,Boris Selanov,GEFC - Mega Fight,Nov / 22 / 2014,TKO (Punches),1,3:40
Yaroslav Amosov,win,Aleksey Nimirovich,CSFU - Voshod Open Cup,Jul / 26 / 2014,TKO (Punches),1,2:40
Yaroslav Amosov,win,Valeri Shpak,GEFC - Warriors Empire,Dec / 08 / 2013,Submission (Armbar),1,2:50
Yaroslav Amosov,win,Vitaliy Matornika,CSFU - MMA Kiev Cup 2,Apr / 02 / 2013,Submission (Rear-Naked Choke),1,4:47
Yaroslav Amosov,win,Vitaliy Maystrenko,CSFU - MMA Kiev Cup,Jun / 14 / 2012,TKO (Punches),1,4:49
Mark Lemminger,win,Ben Egli,FFC 40 - Final Fight Championship 40,Sep / 05 / 2019,Decision (Unanimous),5,5:00
Mark Lemminger,win,Rocky Edwards,CFFC - Chosen Few Fighting Championships 15,Sep / 22 / 2018,Decision (Unanimous),3,5:00
Mark Lemminger,win,Patrick Delgado,CFFC - Chosen Few Fighting Championships 12,Oct / 07 / 2017,Decision (Split),5,5:00
Mark Lemminger,win,Brandon Suber,CFFC - Chosen Few Fighting Championships 10,Jan / 14 / 2017,Submission,3,3:21
Mark Lemminger,win,Cole Wilken,CFFC - Chosen Few Fighting Championships 8,Apr / 16 / 2016,Submission (Rear-Naked Choke),1,1:43
Mark Lemminger,win,Jake Erickson,CFFC - Chosen Few Fighting Championships 6,Sep / 19 / 2015,TKO (Punches),1,1:56
Mark Lemminger,win,Tim Hiley,CFFC  - Chosen Few Fighting Championships 5,May / 23 / 2015,Decision (Unanimous),3,3:00
Mark Lemminger,win,Alton Cunningham,CFFC - Chosen Few Fighting Championships 3,Oct / 04 / 2014,Decision (Unanimous),3,3:00
Mark Lemminger,win,Tyler Davis,CFFC - Chosen Few Fighting Championships 2,Apr / 19 / 2014,TKO (Punches),3,:29
Mark Lemminger,win,Jake Smith,Bellator 242 - Bandejas vs. Pettis,Jul / 24 / 2020,TKO (Punches),2,4:46
Mark Lemminger,win,Isaac Steele,LFA 70 - Ferreira vs. Martin,Jun / 28 / 2019,Submission (Guillotine Choke),2,3:14
Mark Lemminger,loss,Jason Witt,Jan / 27 / 2018,Jan / 27 / 2018,TKO (Punches),3,1:38
Mark Lemminger,win,Frank Schuman,Pure FC 7 - Lemminger vs. Schuman,Jun / 24 / 2017,TKO (Punches),2,1:53
Mark Lemminger,win,Rex Griepertrop,CFFC - Chosen Few Fighting Championships 9,Oct / 01 / 2016,TKO (Punches),1,3:58
Mark Lemminger,win,Jeremiah Denson,CFFC - Chosen Few Fighting Championships 7,Jan / 23 / 2016,TKO (Submission to Punches),2,1:08
Mark Lemminger,win,Chase Bennett,CFFC - Chosen Few Fighting Championships 4,Jan / 31 / 2015,Submission (Choke),2,2:27
Mark Lemminger,win,Mitchell Snowball,NAFC - Summer Slam,Jul / 26 / 2014,TKO (Punches),2,:37
David Rickels,win,Guilherme Vasconcelos,Bellator 210 - Njokuani vs. Salter,Nov / 30 / 2018,Decision (Unanimous),3,5:00
David Rickels,win,Adam Piccolotti,Bellator 189 - Budd vs. Blencowe 2,Dec / 01 / 2017,Decision (Unanimous),3,5:00
David Rickels,NC,Melvin Guillard,Jul / 22 / 2016,Jul / 22 / 2016,No Contest (Guillard Failed Drug Test),1,2:14
David Rickels,loss,Michael Chandler,Nov / 06 / 2015,Nov / 06 / 2015,TKO (Punches),2,3:05
David Rickels,win,Davi Ramos,Bellator MMA - Bellator 130,Oct / 24 / 2014,Decision (Unanimous),3,5:00
David Rickels,win,J.J. Ambrose,Bellator MMA - Bellator 103,Oct / 11 / 2013,TKO (Punches to the Body),3,2:37
David Rickels,win,Saad Awad,Bellator MMA - Bellator 94,Mar / 28 / 2013,TKO (Punches),2,5:00
David Rickels,win,Lloyd Woodard,Bellator MMA - Bellator 87,Jan / 31 / 2013,Decision (Unanimous),3,5:00
David Rickels,loss,Karl Amoussou,May / 18 / 2012,May / 18 / 2012,Decision (Split),3,5:00
David Rickels,win,Levi Avera,BFC - Bellator Fighting Championships 53,Oct / 08 / 2011,Submission (Triangle Choke),2,1:06
David Rickels,win,Richard Bouphanouvong,BFC - Bellator Fighting Championships 43,May / 07 / 2011,Submission (Triangle Choke),2,1:11
David Rickels,win,Aaron Fondry,FNF NE - Burlington,Feb / 25 / 2011,Decision (Split),3,5:00
David Rickels,win,Kelly Allen,Eye Win - Showtime,Aug / 14 / 2010,Submission (Triangle Choke),1,3:31
David Rickels,win,Chris Evinger,Eye Win - Valentine's Day Massacre,Feb / 13 / 2010,TKO (Knees and Punches),1,2:40
David Rickels,win,Darrell Dancy,Havic Prizefighting - Downtown Throwdown 2,Nov / 22 / 2008,Submission (Rear-Naked Choke),1,0:28
David Rickels,win,A.J. Matthews,Bellator 219 - Awad vs. Girtz,Mar / 29 / 2019,TKO (Eye Injury),2,3:24
David Rickels,loss,Michael Page,May / 25 / 2018,May / 25 / 2018,TKO (Retirement),2,0:43
David Rickels,win,Aaron Derrow,Bellator 171 - Guillard vs. Njokuani,Jan / 27 / 2017,TKO (Punches),3,0:44
David Rickels,win,Bobby    Cooper,Bellator 150 - Kongo vs. Spartan,Feb / 26 / 2016,TKO (Knees and Punches),1,3:49
David Rickels,NC,John Alessio,Jun / 26 / 2015,Jun / 26 / 2015,No Contest (Illegal Knee),1,2:24
David Rickels,loss,Patricky Freire,Mar / 21 / 2014,Mar / 21 / 2014,KO (Punches),2,0:54
David Rickels,loss,Michael Chandler,Jul / 31 / 2013,Jul / 31 / 2013,KO (Punches),1,0:44
David Rickels,win,Jason Fischer,Bellator MMA - Bellator 91,Feb / 28 / 2013,Decision (Unanimous),3,5:00
David Rickels,win,Jason Fischer,BFC - Bellator Fighting Championships 82,Nov / 30 / 2012,Decision (Unanimous),3,5:00
David Rickels,win,Jordan Smith,BFC - Bellator Fighting Championships 63,Mar / 30 / 2012,KO (Punches),1,0:22
David Rickels,win,Kody Frank,SKC - Hotter Than Hell Fight Night,Jul / 16 / 2011,Decision (Unanimous),3,5:00
David Rickels,win,Dylan Smith,BFC - Bellator Fighting Championships 40,Apr / 09 / 2011,Submission (Triangle Choke),1,3:32
David Rickels,win,Charles Jones,C3 Fights - Slammin Jammin Weekend 6,Oct / 22 / 2010,Submission (Triangle Choke),2,2:19
David Rickels,win,Michael Glenn,Eye Win - Devastation,Jun / 19 / 2010,Submission (Armbar),1,2:15
David Rickels,win,Shane Sake,LFC 2 - Link Fighting Championship 2,Aug / 16 / 2008,Submission,1,1:57
Gerald Harris,win,Seth Baczynski,C3 Fights 48 - Harris vs. Baczynski,Nov / 23 / 2019,Decision (Unanimous),3,5:00
Gerald Harris,draw,Hracho Darpinyan,Bellator 210 - Njokuani vs. Salter,Nov / 30 / 2018,Draw (Majority),3,5:00
Gerald Harris,loss,Rafael Lovato Jr.,Apr / 28 / 2018,Apr / 28 / 2018,Submission (Armbar),1,1:11
Gerald Harris,win,Brian Green,XFN 343 - Xtreme Fight Night 343,Aug / 25 / 2017,Decision (Unanimous),3,5:00
Gerald Harris,win,Jorge Santiago,WSOF 4 - Spong vs. DeAnda,Aug / 10 / 2013,Decision (Unanimous),3,5:00
Gerald Harris,win,Mike Bronzoulis,LFC 11 - Legacy Fighting Championship 11,May / 11 / 2012,Decision (Split),3,5:00
Gerald Harris,win,Kazuhiro Nakamura,Dream - Dream 17,Sep / 24 / 2011,Decision (Split),3,5:00
Gerald Harris,loss,James Head,Feb / 25 / 2011,Feb / 25 / 2011,Decision (Unanimous),3,5:00
Gerald Harris,win,David Branch,UFC 116 - Lesnar vs. Carwin,Jul / 03 / 2010,KO (Slam),3,2:35
Gerald Harris,win,John Salter,UFC Fight Night 20 - Maynard vs. Diaz,Jan / 11 / 2010,TKO (Punches),3,3:24
Gerald Harris,win,David Knight,SJW 2 - Slammin Jammin Weekend 2,Mar / 28 / 2009,KO (Punches),1,1:38
Gerald Harris,win,Jay Ford,FCF - Freestyle Cage Fighting 25,Nov / 15 / 2008,TKO (Submission to Punches),1,3:43
Gerald Harris,win,Brandon McDowell,C3 Fights - Battle on the Border 2,Jul / 12 / 2008,TKO (Submission to Punches),1,1:21
Gerald Harris,loss,Benji Radach,Aug / 02 / 2007,Aug / 02 / 2007,TKO (Punches),1,3:03
Gerald Harris,win,Curtis Stout,Titan FC 7 - Red Rumble,Mar / 23 / 2007,KO (Punches),1,4:57
Gerald Harris,win,Harvell Hunter,FCF - Freestyle Cage Fighting 8,Feb / 10 / 2007,KO (Punches),1,N/A
Gerald Harris,win,Joe Bunch,FCF - Brawl For It All 2,Oct / 07 / 2006,TKO (Punches),2,1:58
Gerald Harris,win,Ryan Lopez,FCFP - Friday Night Fights,Aug / 11 / 2006,TKO (Submission to Punches),2,0:49
Gerald Harris,loss,Amir Sadollah,Feb / 15 / 2008,Feb / 15 / 2008,TKO (Punches),2,2:36
Gerald Harris,loss,Anatoly Tokov,Mar / 22 / 2019,Mar / 22 / 2019,Submission (Guillotine Choke),2,0:37
Gerald Harris,win,Matt McKeon,XFN 344 - USA vs. Mexico,Oct / 21 / 2017,TKO (Slam),4,2:22
Gerald Harris,win,Aaron Cobb,LFC 63 - Legacy Fighting Championship 63,Dec / 02 / 2016,KO (Slam),1,4:12
Gerald Harris,loss,Joshua Burkman,Nov / 03 / 2012,Nov / 03 / 2012,Decision (Unanimous),3,5:00
Gerald Harris,win,Eric Davila,LFC 10 - Legacy Fighting Championship 10,Feb / 24 / 2012,Decision (Unanimous),3,5:00
Gerald Harris,win,Anthony    Ruiz,TPF 9 - The Contenders,May / 06 / 2011,Decision (Unanimous),3,5:00
Gerald Harris,loss,Maiquel Falcao,Nov / 20 / 2010,Nov / 20 / 2010,Decision (Unanimous),3,5:00
Gerald Harris,win,Mario Miranda,UFC Fight Night 21 - Florian vs. Gomi,Mar / 31 / 2010,TKO (Punches),1,4:49
Gerald Harris,win,Nissen Osterneck,SF 6 - Shark Fights 6,Sep / 12 / 2009,KO (Punch),1,0:46
Gerald Harris,win,Travis Doerge,C3 Fights - Knockout-Rockout Weekend 1,Jan / 30 / 2009,Submission (Guillotine Choke),1,2:32
Gerald Harris,win,Mitch Whitesel,C3 Fights - Showdown 2,Aug / 16 / 2008,Decision (Unanimous),3,5:00
Gerald Harris,win,Jeremija Sanders,FTP - Global Showdown,Nov / 03 / 2007,TKO (Punches),1,0:30
Gerald Harris,loss,Fabio Leopoldo,Apr / 13 / 2007,Apr / 13 / 2007,Decision (Split),3,4:00
Gerald Harris,win,Travis Fowler,FCF - Freestyle Cage Fighting 9,Mar / 10 / 2007,Decision (Unanimous),3,5:00
Gerald Harris,win,Bubba McDaniel,FCF - Freestyle Cage Fighting 6,Nov / 10 / 2006,TKO (Slam),2,4:55
Gerald Harris,win,Chester Lauchner,FCF - Brawl For It All,Aug / 19 / 2006,Submission (Verbal),2,1:06
Gerald Harris,win,Mike Marrello,UFC - The Ultimate Fighter Season 7 Elimination Fights,Jan / 27 / 2008,Decision (Unanimous),2,5:00
Diogo Cavalcanti,loss,Ciro Rodrigues,Jun / 20 / 2015,Jun / 20 / 2015,Decision (Unanimous),3,5:00
Diogo Cavalcanti,win,Paulo      Silva,SFT - Standout Fighting Tournament 2,Nov / 29 / 2013,Submission (Guillotine Choke),1,1:21
Diogo Cavalcanti,win,Deivid Daniel dos Santos,CF - Capital Fight 5,May / 10 / 2013,TKO,1,0:00
Diogo Cavalcanti,win,Janio Carvalho dos Santos,JF - Jungle Fight 35,Dec / 17 / 2011,TKO (Punches),1,3:05
Diogo Cavalcanti,win,Thiago Oliveira,CF - Capital Fight 3,Nov / 05 / 2010,Submission (Triangle Choke),1,0:00
Diogo Cavalcanti,loss,Michel Silva,Apr / 30 / 2016,Apr / 30 / 2016,TKO (Knee and Punches),1,4:58
Diogo Cavalcanti,win,Anderson de Queiroz Diniz,CEF - Coliseu Extreme Fight 11,Sep / 06 / 2014,KO (Punch),1,0:32
Diogo Cavalcanti,win,Carlos Prates,SFT - Standout Fighting Tournament 1,Sep / 20 / 2013,Submission (Heel Hook),1,4:54
Diogo Cavalcanti,loss,Deivison Francisco Ribeiro,Apr / 28 / 2012,Apr / 28 / 2012,Decision (Split),3,5:00
Diogo Cavalcanti,win,Josimar Ventura da Silva,WOCS - Watch Out Combat Show 13,May / 13 / 2011,Submission (Triangle Choke),2,2:18
Diogo Cavalcanti,win,Walmir Nascimento,CK - Chute Kombat,Aug / 21 / 2010,Submission (Toe Hold),1,2:28
Khasanbek Abdulaev,loss,Artem Gruzdov,Jul / 07 / 2016,Jul / 07 / 2016,TKO (Retirement),2,2:22
Khasanbek Abdulaev,win,Omar Abdulaev,ACB 36 - Young Eagles 8,May / 10 / 2016,Submission (Rear-Naked Choke),1,0:45
Islam Berzegov,loss,Astemir Fakov,Mar / 29 / 2011,Mar / 29 / 2011,Submission (Guillotine Choke),1,2:25
Islam Berzegov,loss,Nazir Kadyzhev,Jul / 16 / 2011,Jul / 16 / 2011,Submission (Heel Hook),1,2:06
Ravil Risaev,loss,Jonibek Farmonov,Mar / 03 / 2020,Mar / 03 / 2020,TKO,1,2:55
Ravil Risaev,loss,Abylkasym Yakubov,Mar / 21 / 2016,Mar / 21 / 2016,TKO (Punches),1,0:31
Ravil Risaev,loss,Znaur Gagiev,May / 31 / 2014,May / 31 / 2014,TKO (Punches),1,4:50
Ravil Risaev,loss,Davrbek Isakov,Mar / 30 / 2013,Mar / 30 / 2013,Submission (Triangle Choke),1,3:30
Ravil Risaev,loss,Davrbek Isakov,Aug / 11 / 2019,Aug / 11 / 2019,TKO,1,3:20
Ravil Risaev,loss,Iliyas Yakubov,Nov / 07 / 2013,Nov / 07 / 2013,Submission (Rear-Naked Choke),1,1:14
Oleg Olenichev,win,Vladimir Seliverstov,GFC 21 - Gorilla Fighting 21,Dec / 06 / 2019,TKO (Referee stoppage),5,3:25
Oleg Olenichev,win,Stepan Gorshechnikov,Russian Cagefighting Championship - RCC Intro 3,Mar / 09 / 2019,Decision (Majority),3,5:00
Oleg Olenichev,win,Vitaliy Slipenko,RCC - Russian Cagefighting Championship 2,May / 05 / 2018,Decision (Unanimous),3,5:00
Oleg Olenichev,loss,Joe Riggs,Oct / 27 / 2017,Oct / 27 / 2017,TKO (Punches),3,3:21
Oleg Olenichev,win,Azamat Amagov,ACB 58 - Young Eagles 17,Apr / 22 / 2017,Submission (Rear-Naked Choke),3,2:51
Oleg Olenichev,win,Vasiliy Kurochkin,MixFace / Tech-Krep FC - MixFace 1,Dec / 03 / 2016,Submission (Guillotine Choke),2,4:08
Oleg Olenichev,win,Dmitry Aryshev,AFC - Ambitions Fighting Championship 13,Aug / 27 / 2016,Decision (Unanimous),3,5:00
Oleg Olenichev,loss,Jun Yong Park,Jan / 16 / 2016,Jan / 16 / 2016,TKO (Retirement),1,10:00
Oleg Olenichev,win,Nuerla  Murati,WBK 4 - Battle of Kings,Jun / 05 / 2015,Submission (Rear-Naked Choke),2,4:35
Oleg Olenichev,win,Alexander Chernov,White Rex - Warriors Spirit 32,Aug / 30 / 2014,Decision (Split),2,5:00
Oleg Olenichev,win,Aleksander Podmarev,Russian Cagefighting Championship - RCC Intro 5,Sep / 14 / 2019,Decision (Unanimous),3,5:00
Oleg Olenichev,loss,Sergey Martynov,Oct / 27 / 2018,Oct / 27 / 2018,TKO (Punches),2,3:45
Oleg Olenichev,win,Silmar Nunes,M-1 Challenge 90 - Kunchenko vs. Butenko,Mar / 30 / 2018,Decision (Unanimous),3,5:00
Oleg Olenichev,win,Enoc Solves Torres,M-1 Challenge 79 - Shlemenko vs. Halsey 2,Jun / 01 / 2017,Decision (Unanimous),3,5:00
Oleg Olenichev,loss,Kiamrian Abbasov,Dec / 03 / 2016,Dec / 03 / 2016,Decision (Unanimous),3,5:00
Oleg Olenichev,win,Eduardo Andrade,MixFace / Tech-Krep FC - MixFace 1,Dec / 03 / 2016,TKO (Punches),1,1:10
Oleg Olenichev,loss,Karim Magomedov,Apr / 16 / 2016,Apr / 16 / 2016,Decision (Unanimous),3,5:00
Oleg Olenichev,win,Xiang  Fei,M-1 Global - Road to M-1 China,Jul / 25 / 2015,TKO,1,N/A
Oleg Olenichev,win,Robert Vorobyov,White Rex - The Birth of a Nation,Oct / 04 / 2013,Submission (Rear-Naked Choke),1,1:57
Andrei Shalavai,loss,Sergei Churilov,Mar / 30 / 2013,Mar / 30 / 2013,KO (Punch),1,1:10
Vadim Sandulskiy,win,Vasiliy Zubkov,Fight Nights Global 46 - Mokhnatkin vs. Kudin,Apr / 29 / 2016,Decision (Unanimous),3,5:00
Vadim Sandulskiy,win,Panikos Christofi,CIMAS - 1st Cyprus International Martial Arts Show,Nov / 10 / 2013,TKO,1,N/A
Vadim Sandulskiy,win,Evgeni Fomenko,Rod Fighting - Vo Slavu Roda: Overtime 2,Apr / 27 / 2013,TKO (Punches),1,1:18
Vadim Sandulskiy,win,Ivan Zagubinoga,Rod Fighting - Shield and Sword 3: Russia vs. Belarus,Dec / 14 / 2012,Submission (Rear-Naked Choke),1,3:04
Vadim Sandulskiy,win,Sergey Veselov,ECSF - MMA Ukraine Cup 1,May / 11 / 2012,Submission (Armbar),1,1:55
Vadim Sandulskiy,loss,Vladimir Katykhin,Mar / 31 / 2012,Mar / 31 / 2012,Submission (Rear-Naked Choke),1,0:00
Vadim Sandulskiy,loss,Tursunbek Asylgaziev,Dec / 19 / 2013,Dec / 19 / 2013,Decision (Split),3,5:00
Vadim Sandulskiy,win,Bagautdin Abasov,Fight Nights - Battle of Moscow 10,Feb / 23 / 2013,Submission (Triangle Choke),1,2:44
Vadim Sandulskiy,win,Artiom Yamschitov,Rod Fighting - Vo Slavu Roda: Overtime 1,Oct / 27 / 2012,Submission (Rear-Naked Choke),1,2:56
Vadim Sandulskiy,win,Trofim Popescu,CSFM 1 - Combat Sambo Federation of Moldova,Apr / 20 / 2012,Submission (Rear-Naked Choke),1,1:37
Vadim Sandulskiy,loss,Khabib Nurmagomedov,Sep / 15 / 2011,Sep / 15 / 2011,Submission (Triangle Choke),1,3:01
Artiom Cula,loss,Ion Surdu,May / 26 / 2018,May / 26 / 2018,Decision (Unanimous),3,5:00
Artiom Cula,loss,Arslan Eslemesov,Nov / 19 / 2016,Nov / 19 / 2016,Submission (Rear-Naked Choke),1,1:25
Artiom Cula,loss,Corey Watson,Apr / 25 / 2015,Apr / 25 / 2015,Submission (Kimura),3,2:53
Artiom Cula,win,Anton Kaloshin,ECSF - Adrenalin,Dec / 14 / 2012,TKO (Punches),1,1:36
Artiom Cula,win,Nick Coughran,COGA 54 - Rumble on the Ridge 37,Mar / 18 / 2017,Submission (Guillotine Choke),2,2:16
Artiom Cula,loss,Dylan Potter,Dec / 12 / 2015,Dec / 12 / 2015,KO (Punch),1,2:41
Artiom Cula,win,Ramili Zakirov,CIS - Cup,Apr / 05 / 2012,TKO (Corner Stoppage),2,5:00
Ed Ruth,win,Kiichi Kunimoto,Bellator 224 - Budd vs. Rubin,Jul / 12 / 2019,TKO (Knee and Punches),2,3:49
Ed Ruth,win,Andy Murad,Bellator 201 - Macfarlane vs. Lara,Jun / 29 / 2018,TKO (Punches),2,4:59
Ed Ruth,win,Chris Dempsey,Bellator 186 - Bader vs. Vassell,Nov / 03 / 2017,KO (Punch),2,0:27
Ed Ruth,win,Emanuele Palombi,Bellator 168 - Sakara vs. Beltran,Dec / 10 / 2016,TKO (Punches),1,1:37
Ed Ruth,win,Jason Jackson,Bellator 231 - Mir vs. Nelson 2,Oct / 25 / 2019,Decision (Split),3,5:00
Ed Ruth,loss,Neiman Gracie,Dec / 15 / 2018,Dec / 15 / 2018,Submission (Rear-Naked Choke),4,2:17
Ed Ruth,win,Ion Pascu,Bellator 196 - Henderson vs. Huerta,Apr / 06 / 2018,Decision (Unanimous),3,5:00
Ed Ruth,win,David Mundell,Bellator 178 - Straus vs. Pitbull 4,Apr / 21 / 2017,TKO (Knee to the Body),2,3:12
Ed Ruth,win,Dustin Collins-Miles,Bellator 163 - McGeary vs. Davis,Nov / 04 / 2016,TKO (Punches),1,3:19
Erick Silva,loss,Paul Daley,Jun / 22 / 2019,Jun / 22 / 2019,Decision (Unanimous),3,5:00
Erick Silva,win,Nick Barnes,LFA 45 - Silva vs. Barnes,Jul / 20 / 2018,Submission (Armbar),1,4:43
Erick Silva,loss,Yancy Medeiros,Jun / 03 / 2017,Jun / 03 / 2017,TKO (Punches),2,2:01
Erick Silva,loss,Nordine Taleb,Mar / 05 / 2016,Mar / 05 / 2016,KO (Punch),2,1:34
Erick Silva,win,Josh Koscheck,UFC Fight Night 62 - Maia vs. LaFlare,Mar / 21 / 2015,Submission (Guillotine Choke),1,4:21
Erick Silva,loss,Matt Brown,May / 10 / 2014,May / 10 / 2014,TKO (Punches),3,2:11
Erick Silva,loss,Dong Hyun Kim,Oct / 09 / 2013,Oct / 09 / 2013,KO (Punch),2,3:01
Erick Silva,loss,Jon Fitch,Oct / 13 / 2012,Oct / 13 / 2012,Decision (Unanimous),3,5:00
Erick Silva,loss,Carlo Prater,Jan / 14 / 2012,Jan / 14 / 2012,DQ (Punches to Back of Head),1,0:29
Erick Silva,win,Francisco Ayon,JF - Jungle Fight 23,Oct / 30 / 2010,Submission (Arm-Triangle Choke),1,1:07
Erick Silva,win,Jose de Ribamar Machado Gomes,JF - Jungle Fight 21,Jul / 31 / 2010,TKO (Knee and Punches),2,3:39
Erick Silva,win,Jorge Luis Bezerra,JF - Jungle Fight 15,Sep / 19 / 2009,Decision (Unanimous),3,5:00
Erick Silva,win,Igor Fernandes,JF - Jungle Fight 11,Sep / 13 / 2008,Decision (Unanimous),3,5:00
Erick Silva,win,Fabio Issa,OF - Open Fight,Aug / 04 / 2007,Decision,0,0:00
Erick Silva,win,Leandro Zumbi,MMA - Kombat Espirito Santo,Nov / 25 / 2006,Submission (Arm-Triangle Choke),1,3:05
Erick Silva,win,Julian Fabrin Soares,GF - Guarafight 2,Jan / 07 / 2006,KO (Punch),1,2:30
Erick Silva,loss,Jordan Mein,Dec / 16 / 2017,Dec / 16 / 2017,Decision (Unanimous),3,5:00
Erick Silva,win,Luan Chagas,UFC Fight Night 95 - Cyborg vs. Lansberg,Sep / 24 / 2016,Submission (Rear-Naked Choke),3,3:57
Erick Silva,loss,Neil Magny,Aug / 23 / 2015,Aug / 23 / 2015,Decision (Split),3,5:00
Erick Silva,win,Mike Rhodes,UFC Fight Night 58 - Machida vs. Dollaway,Dec / 20 / 2014,Technical Submission (Arm-Triangle Choke),1,1:15
Erick Silva,win,Takenori Sato,UFC Fight Night 36 - Machida vs. Mousasi,Feb / 15 / 2014,KO (Punches),1,0:52
Erick Silva,win,Jason High,UFC on Fuel TV 10 - Nogueira vs. Werdum,Jun / 08 / 2013,Submission (Reverse Triangle Armbar),1,1:11
Erick Silva,win,Charlie Brenneman,UFC on FX 3 - Johnson vs. McCall,Jun / 08 / 2012,Submission (Rear-Naked Choke),1,4:33
Erick Silva,win,Luis Ramos,UFC 134 - Silva vs. Okami,Aug / 27 / 2011,TKO (Punches),1,0:40
Erick Silva,win,Gil de Freitas,JF - Jungle Fight 23,Oct / 30 / 2010,Submission (Guillotine Choke),3,0:57
Erick Silva,NC,Henrique Gomes de Oliveira,JF - Jungle Fight 17,Feb / 27 / 2010,No Contest (Illegal Knee),2,3:57
Erick Silva,win,Carlos Villamor,JF - Jungle Fight 14,May / 09 / 2009,Submission (Kneebar),2,3:38
Erick Silva,win,Carlos Eduardo Santos,JF 9 - Warriors,May / 31 / 2008,Submission (Rear-Naked Choke),3,0:00
Erick Silva,loss,Mario Neto,Dec / 10 / 2006,Dec / 10 / 2006,Decision (Unanimous),3,5:00
Erick Silva,win,Henrique Lango,GF - Guarafight 3,Aug / 12 / 2006,Submission (Rear-Naked Choke),1,0:00
Erick Silva,win,Fabiano Mastodonte,GF - Guarafight 1,Jun / 04 / 2005,Submission (Rear-Naked Choke),1,2:02
Nathan Oliveira,loss,Julio Cesar Araujo Fernandes,Mar / 14 / 2020,Mar / 14 / 2020,Decision (Unanimous),3,5:00
Nathan Oliveira,loss,Marcus      Vinicius,Aug / 25 / 2018,Aug / 25 / 2018,TKO (Punches),1,1:15
Nathan Oliveira,win,Felipe Alves,Imortal - Imortal FC 6,Dec / 10 / 2016,KO (Punch),1,0:34
Nathan Oliveira,win,Claudio Junior,KO - Kombat One 2,Dec / 12 / 2015,Submission (Armbar),1,4:29
Nathan Oliveira,win,Guilherme Oliveira,ECC - Eco Combat Championship 11,Oct / 18 / 2014,Submission (Omoplata),2,0:50
Nathan Oliveira,loss,Lucas Costa Jesus,Nov / 10 / 2018,Nov / 10 / 2018,Submission (Rear-Naked Choke),1,4:39
Nathan Oliveira,win,Alberto Antonio,Leoes da Luta Championship - Ibiuna Edition,Nov / 12 / 2017,KO (Punches),2,0:30
Nathan Oliveira,win,Andre Morais,EOF - Evolution of Fighters 18,Apr / 08 / 2017,TKO (Punches),1,2:33
Nathan Oliveira,win,Vande Meneguetti,Costa Combat - MMA Costa Combat 23,Jul / 09 / 2016,TKO (Punches),1,3:06
